Thread   Start(us)  B/E     Dur(us)  Name/Detail
 40346  1815816233  BEG           7  (A) SymbolTableAnalysis
 40346  1815816240  END           7  (A) SymbolTableAnalysis
 40346  1815816242  END          12  CheckLifetimes
 40346  1820412188  BEG        7307  AnnotateKernels
 40346  1820419496  END        7307  AnnotateKernels
 40346  1820419502  BEG        1675  VerifyKernels
 40346  1820421178  END        1675  VerifyKernels
 40346  1820421184  BEG       10579  LowerSemanticCF
 40346  1820431763  END       10579  LowerSemanticCF
 40346  1820431768  BEG      146246  CheckLifetimes
 40346  1820436706  BEG          24  (A) SymbolTableAnalysis
 40346  1820436730  END          24  (A) SymbolTableAnalysis
 40346  1820578014  END      146246  CheckLifetimes
 40346  2337805979  BEG        5728  AnnotateKernels
 40346  2337811707  END        5728  AnnotateKernels
 40346  2337811712  BEG        1449  VerifyKernels
 40346  2337813161  END        1449  VerifyKernels
 40346  2337813164  BEG       13154  LowerSemanticCF
 40346  2337826319  END       13154  LowerSemanticCF
 40346  2337826325  BEG      169231  CheckLifetimes
 40346  2337832804  BEG          31  (A) SymbolTableAnalysis
 40346  2337832836  END          31  (A) SymbolTableAnalysis
 40346  2337995556  END      169231  CheckLifetimes
 40346  2348105603  BEG        6641  AnnotateKernels
 40346  2348112244  END        6641  AnnotateKernels
 40346  2348112250  BEG        1776  VerifyKernels
 40346  2348114026  END        1776  VerifyKernels
 40346  2348114029  BEG       13050  LowerSemanticCF
 40346  2348127080  END       13050  LowerSemanticCF
 40346  2348127085  BEG      199336  CheckLifetimes
 40346  2348133150  BEG          25  (A) SymbolTableAnalysis
 40346  2348133176  END          25  (A) SymbolTableAnalysis
 40346  2348326422  END      199336  CheckLifetimes
 40346  2548410659  BEG        7109  AnnotateKernels
 40346  2548417769  END        7109  AnnotateKernels
 40346  2548417774  BEG        2086  VerifyKernels
 40346  2548419861  END        2086  VerifyKernels
 40346  2548419868  BEG       13234  LowerSemanticCF
 40346  2548433103  END       13234  LowerSemanticCF
 40346  2548433108  BEG      181651  CheckLifetimes
 40346  2548438612  BEG          43  (A) SymbolTableAnalysis
 40346  2548438656  END          43  (A) SymbolTableAnalysis
 40346  2548614760  END      181651  CheckLifetimes
 40346  2551018818  BEG        6058  AnnotateKernels
 40346  2551024876  END        6058  AnnotateKernels
 40346  2551024881  BEG        2116  VerifyKernels
 40346  2551026997  END        2116  VerifyKernels
 40346  2551027005  BEG       13184  LowerSemanticCF
 40346  2551040189  END       13184  LowerSemanticCF
 40346  2551040197  BEG      146039  CheckLifetimes
 40346  2551047569  BEG          28  (A) SymbolTableAnalysis
 40346  2551047597  END          28  (A) SymbolTableAnalysis
 40346  2551186237  END      146039  CheckLifetimes
 40346  2583144270  BEG        7442  AnnotateKernels
 40346  2583151712  END        7442  AnnotateKernels
 40346  2583151719  BEG        3660  VerifyKernels
 40346  2583155380  END        3660  VerifyKernels
 40346  2583155386  BEG       11990  LowerSemanticCF
 40346  2583167377  END       11990  LowerSemanticCF
 40346  2583167382  BEG      206832  CheckLifetimes
 40346  2583173643  BEG          26  (A) SymbolTableAnalysis
 40346  2583173669  END          26  (A) SymbolTableAnalysis
 40346  2583374215  END      206832  CheckLifetimes
 40346  2588812907  BEG        7290  AnnotateKernels
 40346  2588820197  END        7290  AnnotateKernels
 40346  2588820203  BEG        1508  VerifyKernels
 40346  2588821711  END        1508  VerifyKernels
 40346  2588821716  BEG       15229  LowerSemanticCF
 40346  2588836945  END       15229  LowerSemanticCF
 40346  2588836951  BEG      200210  CheckLifetimes
 40346  2588845646  BEG          34  (A) SymbolTableAnalysis
 40346  2588845680  END          34  (A) SymbolTableAnalysis
 40346  2589037162  END      200210  CheckLifetimes
 40346  2617810888  BEG       11210  AnnotateKernels
 40346  2617822098  END       11210  AnnotateKernels
 40346  2617822105  BEG        2710  VerifyKernels
 40346  2617824816  END        2710  VerifyKernels
 40346  2617824823  BEG       27606  LowerSemanticCF
 40346  2617852429  END       27606  LowerSemanticCF
 40346  2617852435  BEG      186951  CheckLifetimes
 40346  2617861393  BEG          27  (A) SymbolTableAnalysis
 40346  2617861421  END          27  (A) SymbolTableAnalysis
 40346  2618039386  END      186951  CheckLifetimes
 40346  2655114091  BEG        7405  AnnotateKernels
 40346  2655121496  END        7405  AnnotateKernels
 40346  2655121502  BEG        1525  VerifyKernels
 40346  2655123028  END        1525  VerifyKernels
 40346  2655123032  BEG       24790  LowerSemanticCF
 40346  2655147822  END       24790  LowerSemanticCF
 40346  2655147828  BEG      357013  CheckLifetimes
 40346  2655159582  BEG          36  (A) SymbolTableAnalysis
 40346  2655159619  END          36  (A) SymbolTableAnalysis
 40346  2655504841  END      357013  CheckLifetimes
 40346  2661762135  BEG        7081  AnnotateKernels
 40346  2661769217  END        7081  AnnotateKernels
 40346  2661769223  BEG        1601  VerifyKernels
 40346  2661770825  END        1601  VerifyKernels
 40346  2661770830  BEG       12070  LowerSemanticCF
 40346  2661782900  END       12070  LowerSemanticCF
 40346  2661782905  BEG      176517  CheckLifetimes
 40346  2661788509  BEG          30  (A) SymbolTableAnalysis
 40346  2661788540  END          30  (A) SymbolTableAnalysis
 40346  2661959422  END      176517  CheckLifetimes
 40346  2664775544  BEG        6911  AnnotateKernels
 40346  2664782456  END        6911  AnnotateKernels
 40346  2664782462  BEG        1865  VerifyKernels
 40346  2664784328  END        1865  VerifyKernels
 40346  2664784335  BEG       12735  LowerSemanticCF
 40346  2664797070  END       12735  LowerSemanticCF
 40346  2664797076  BEG      194723  CheckLifetimes
 40346  2664802238  BEG          19  (A) SymbolTableAnalysis
 40346  2664802258  END          19  (A) SymbolTableAnalysis
 40346  2664991799  END      194723  CheckLifetimes
